"Name","Gross Export","Share","Code","Sector"
"Horses","3292104","0.0004051611280792817","0101","Agriculture"
"Sheep","12736","0.0000015674268271044083","0104","Agriculture"
"Other live animals","11536929","0.0014198564711839538","0106","Agriculture"
"Beef","136240000","0.016767134965821655","0201","Agriculture"
"Beef (frozen)","127593808","0.0157030431557482","0202","Agriculture"
"Pork","15257293","0.0018777238031715058","0203","Agriculture"
"Edible offal","1547803","0.00019048900324063165","0206","Agriculture"
"Poultry","18983808","0.0023363481422581096","0207","Agriculture"
"Pig and poultry fat","12274","0.000001510568222038278","0209","Agriculture"
"Preserved meat","970531","0.0001194438069987805","0210","Agriculture"
"Live Fish","101733160","0.012520358369197952","0301","Agriculture"
"Fish, excluding fillets","101535904","0.012496081960105042","0302","Agriculture"
"Frozen fish, excluding fillets","571458880","0.07032977222825368","0303","Agriculture"
"Fish fillets","172146608","0.021186181813302948","0304","Agriculture"
"Preserved fish","13439067","0.0016539536861694066","0305","Agriculture"
"Crustaceans","16226090","0.001996954205795428","0306","Agriculture"
"Molluscs","346714496","0.042670351945381914","0307","Agriculture"
"Milk","18508814","0.002277890358156851","0401","Agriculture"
"Milk, concentrated","19285700","0.002373502163904483","0402","Agriculture"
"Fermented milk products","1938927","0.00023862485832263418","0403","Agriculture"
"Whey","2726074","0.000335499491227373","0404","Agriculture"
"Butter","1625820","0.00020009060019180976","0405","Agriculture"
"Cheese","13704030","0.0016865628345982748","0406","Agriculture"
"Eggs, in shell","42560552","0.005237951553169927","0407","Agriculture"
"Egg yolks","1423783","0.00017522579068586652","0408","Agriculture"
"Honey","549578","0.00006763687977280044","0409","Agriculture"
"Edible animal products, n.e.c.","249970","0.000030763951316841156","0410","Agriculture"
"Human hair, unworked","431688","0.000053128089835038304","0501","Agriculture"
"Brushmaking hair","167301","0.000020589830056642167","0502","Agriculture"
"Animal guts, except fish","151136","0.000018600394232196284","0504","Agriculture"
"Feathers and down","9890389","0.0012172158487043297","0505","Agriculture"
"Bones, simply prepared","205729","0.00002531918606417736","0506","Agriculture"
"Whalebone & horns","47180","0.000005806469668874528","0507","Agriculture"
"Coral and shells","37935048","0.004668688122070779","0508","Agriculture"
"Animal products used in pharmaceuticals","1181703","0.00014543286619580407","0510","Agriculture"
"Animal products n.e.c.","14828551","0.0018249582792466946","0511","Agriculture"
"Flower bulbs","645143","0.00007939811915190164","0601","Agriculture"
"Other live plants","98158824","0.012080462786951952","0602","Agriculture"
"Cut flowers","7055928","0.0008683771072014098","0603","Agriculture"
"Other parts of plants","2285154","0.000281235213855602","0604","Agriculture"
"Potatoes","506148","0.00006229192475543673","0701","Agriculture"
"Tomatoes","947354","0.0001165914003112963","0702","Agriculture"
"Onions, shallots, garlic","15297617","0.001882686500986845","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","3731664","0.00045925802947077146","0704","Agriculture"
"Lettuce","108116","0.000013305898150064403","0705","Agriculture"
"Carrots & turnips","2222594","0.00027353591876266457","0706","Agriculture"
"Cucumbers","180997","0.000022275404634533338","0707","Agriculture"
"Legumes","211430","0.000026020811405047506","0708","Agriculture"
"Other vegetables","10996918","0.0013533970075900877","0709","Agriculture"
"Frozen vegetables","1499222","0.00018451011169795268","0710","Agriculture"
"Vegetables, provisionally preserved","1148369","0.00014133043169088115","0711","Agriculture"
"Vegetables, dried","4122442","0.0005073513021342613","0712","Agriculture"
"Legumes, dried","1023833","0.00012600371472006814","0713","Agriculture"
"Tubers","21854236","0.0026896133630866003","0714","Agriculture"
"Cashew nuts & coconuts","167807","0.00002065210376695269","0801","Agriculture"
"Other nuts","1997687","0.0002458564852353741","0802","Agriculture"
"Bananas and plantains","25102","0.000003089317541926418","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","596130","0.00007336606112136864","0804","Agriculture"
"Citrus fruit","7141014","0.0008788486900383291","0805","Agriculture"
"Grapes","37740884","0.004644792247191861","0806","Agriculture"
"Melons and papayas","8188658","0.0010077828381896302","0807","Agriculture"
"Apples & pears","106182112","0.013067893444362825","0808","Agriculture"
"Peaches & cherries","18270946","0.0022486158069233656","0809","Agriculture"
"Other fresh fruit","30250356","0.0037229286686446925","0810","Agriculture"
"Fruits and nuts, frozen","474104","0.00005834825129063352","0811","Agriculture"
"Fruits and nuts, provisionally preserved","57252","0.000007046036487545665","0812","Agriculture"
"Fruits, dried","1800122","0.00022154204733517915","0813","Agriculture"
"Peel of citrus fruit or melons","552822","0.00006803612071400074","0814","Agriculture"
"Coffee","34023000","0.004187230130227175","0901","Agriculture"
"Tea","156674624","0.019282035865585443","0902","Agriculture"
"Mate","21013","0.0000025860819659190433","0903","Agriculture"
"Pepper","2387698","0.00029385536276880825","0904","Agriculture"
"Vanilla","204015","0.000025108243100793487","0905","Agriculture"
"Cinnamon","27263","0.000003355273051770374","0906","Agriculture"
"Cloves","10688","0.0000013153782920926442","0907","Agriculture"
"Nutmeg","186483","0.000022950569802050204","0908","Agriculture"
"Anise, fennel, etc.","41243","0.000005075799672602632","0909","Agriculture"
