id,country_city,start_time,end_time,date,mean_temp_celsius,incentive_local,exchange_usd_local,incentive_usd,gender,point_value,site_id,session_n,subject_n,tr_opponet_n,ch_opponent_n,version,treatment,dc_cl_ps,dc_cl_envy,dc_c_ps,dc_c_envy,dc_cl_ps_points,dc_cl_envy_points,dc_c_ps_points,dc_c_envy_points,pr_correct,pr_wrong,pr_not_attempted,tr_correct,tr_wrong,tr_not_attempted,tr_die,tr_total,tr_guess_correct,tr_guess_die,tr_guess_total,tr_other_correct,tr_other_die,tr_other_total,tr_result,tr_points,f_happy,f_energetic,f_frustrated,f_last_meal_min,ch_correct,ch_wrong,ch_not_attempted,ch_die,ch_total,ch_tournament,ch_other_correct,ch_other_die,ch_other_total,ch_result,ch_points,ct_selected,ct_tails,ct_points,task_paid,complete,total_points,total_local_paid,total_usd_paid,final_version,comment,f_last_meal_time,start_time_h,end_time_h
001018001,mexico_chapingo,12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,Female,10,1,18,1,2,9,A,0,1,2,1,2,16,20,16,23,7,0,5,3,1,8,2,5,5,3,8,6,5,11,0,0,5,7,8,180,9,0,3,3,12,1,9,3,12,1,12,2,0,9.5,4,1,23,330,16.5,1,NA,3 0,12,13
001018002,mexico_chapingo,12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,Male,10,1,18,2,1,NA,A,0,1,2,1,2,16,20,16,23,5,1,6,6,1,5,5,11,7,4,11,3,2,5,2,22,9,8,3,240,4,0,8,3,7,0,4,3,7,NA,7,2,0,9.5,4,1,23,330,16.5,1,NA,4 0,12,13
001018005,mexico_chapingo,12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,Male,10,1,18,5,9,NA,A,0,1,2,1,2,16,20,16,23,6,0,6,7,1,4,2,9,8,1,9,5,6,11,0,0,8,7,3,240,7,0,5,5,12,0,4,3,7,NA,12,3,0,8,4,1,23,330,16.5,1,NA,4 0,12,13
001018009,mexico_chapingo,12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,Male,10,1,18,9,5,1,A,0,1,2,1,2,16,20,16,23,1,0,11,5,4,3,6,11,6,4,10,7,2,9,2,22,4,3,0,90,7,5,0,6,13,1,7,6,13,1,13,6,0,1,4,1,23,330,16.5,1,NA,1 30,12,13
001018010,mexico_chapingo,12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,Male,10,1,18,10,13,9,A,0,1,1,1,1,16,16,12,21,7,0,5,9,0,3,6,15,11,2,13,7,2,9,2,30,8,10,4,30,10,0,2,2,12,1,9,3,12,1,12,6,0,1,4,1,21,310,15.5,1,NA,0 30,12,13
001018013,mexico_chapingo,12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,Female,10,1,18,13,10,NA,A,0,1,1,2,2,16,16,20,18,2,0,10,7,0,5,2,9,5,2,7,9,6,15,0,0,8,9,8,120,5,2,5,4,9,0,4,3,7,NA,9,2,0,9.5,4,1,18,280,14,1,NA,2 0,12,13
001018014,mexico_chapingo,12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,Female,10,1,18,14,15,NA,A,0,1,2,1,2,16,16,16,23,6,0,6,6,2,4,2,8,8,5,13,7,6,13,0,0,3,3,8,90,7,1,4,1,8,0,4,3,7,NA,8,1,0,11,4,1,23,330,16.5,1,NA,1 30,12,13
001018015,mexico_chapingo,12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,Female,10,1,18,15,14,NA,A,0,1,1,1,2,16,20,16,23,7,0,5,7,1,4,6,13,5,5,10,6,2,8,2,26,7,5,2,120,6,2,4,3,9,0,4,3,7,NA,9,1,0,11,4,1,23,330,16.5,1,NA,2 0,12,13
001019001,mexico_chapingo,14H 8M 0S,15H 17M 0S,2022-06-20,30.6909090909091,100,20,5,Female,10,1,19,1,2,NA,A,1,1,2,1,2,16,20,12,23,5,0,7,4,2,6,2,6,5,4,9,7,4,11,0,0,6,7,7,30,4,4,4,6,10,0,4,6,10,NA,10,1,0,11,6,1,0,100,5,1,NA,0 30,14,15
001019002,mexico_chapingo,14H 8M 0S,15H 17M 0S,2022-06-20,30.6909090909091,100,20,5,Male,10,1,19,2,1,3,A,1,1,2,2,2,16,20,20,23,6,2,4,7,2,3,4,11,6,3,9,4,2,6,2,22,10,10,0,120,4,2,6,1,5,1,4,1,5,1,5,6,0,1,6,1,22,320,16,1,NA,2 0,14,15
