id,mean_temp_celsius,gender,pr_correct,tr_correct,ch_tournament,ch_correct,version,treatment
001018001,28.5877192982456,Female,7,3,1,9,A,0
001018002,28.5877192982456,Male,5,6,0,4,A,0
001018005,28.5877192982456,Male,6,7,0,7,A,0
001018009,28.5877192982456,Male,1,5,1,7,A,0
001018010,28.5877192982456,Male,7,9,1,10,A,0
001018013,28.5877192982456,Female,2,7,0,5,A,0
001018014,28.5877192982456,Female,6,6,0,7,A,0
001018015,28.5877192982456,Female,7,7,0,6,A,0
001019001,30.6909090909091,Female,5,4,0,4,A,1
001019002,30.6909090909091,Male,6,7,1,4,A,1
001019003,30.6909090909091,Female,8,6,1,8,A,1
001019004,30.6909090909091,Female,2,3,0,6,A,1
001019005,30.6909090909091,Female,2,6,0,5,A,1
001019006,30.6909090909091,Female,5,7,1,6,A,1
001019007,30.6909090909091,Female,6,8,0,6,A,1
001019008,30.6909090909091,Male,5,6,1,6,A,1
001019009,30.6909090909091,Male,2,6,1,5,A,1
001019010,30.6909090909091,Male,6,8,0,8,A,1
001019011,30.6909090909091,Male,7,7,1,7,A,1
001019012,30.6909090909091,Male,4,5,1,6,A,1
001019013,30.6909090909091,Female,4,4,1,5,A,1
001019014,30.6909090909091,Male,5,6,0,7,A,1
001019015,30.6909090909091,Female,5,6,1,8,A,1
001019016,30.6909090909091,Female,3,7,0,8,A,1
001020001,31.5893939393939,Female,7,6,0,7,A,1
001020002,31.5893939393939,Male,8,6,1,5,A,1
001020003,31.5893939393939,Male,7,6,1,6,A,1
001020005,31.5893939393939,Female,3,4,0,7,A,1
001020006,31.5893939393939,Male,5,8,0,7,A,1
001020008,31.5893939393939,Female,6,9,1,7,A,1
001020009,31.5893939393939,Male,7,7,1,5,A,1
001020010,31.5893939393939,Male,5,7,1,7,A,1
001020013,31.5893939393939,Male,8,7,0,7,A,1
001020014,31.5893939393939,Male,5,3,0,7,A,1
001020015,31.5893939393939,Male,5,6,0,7,A,1
001021001,30.3966101694915,Female,7,7,1,8,A,1
001021005,30.3966101694915,Male,5,7,1,5,A,1
001021006,30.3966101694915,Male,8,4,0,7,A,1
001021009,30.3966101694915,Female,7,7,0,7,A,1
001021010,30.3966101694915,Female,6,5,0,8,A,1
001021013,30.3966101694915,Male,2,3,1,2,A,1
001021014,30.3966101694915,Male,5,3,0,3,A,1
001024001,29.1957142857143,Female,5,6,1,6,A,0
001024002,29.1957142857143,Female,7,6,1,5,A,0
001024003,29.1957142857143,Female,5,4,0,6,A,0
001024004,29.1957142857143,NA,5,6,1,6,A,0
001024005,29.1957142857143,Female,5,4,1,3,A,0
001024006,29.1957142857143,Female,5,5,0,7,A,0
001024008,29.1957142857143,Male,3,6,0,6,A,0
001024009,29.1957142857143,Female,7,6,1,6,A,0
001024010,29.1957142857143,Male,5,6,1,7,A,0
